UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
1,January 01 2018,DOG,UNKNOWN,,U,false,Brooklyn,11220
2,January 04 2018,DOG,UNKNOWN,,U,false,Brooklyn,
3,January 06 2018,DOG,Pit Bull,,U,false,Brooklyn,11224
4,January 08 2018,DOG,Mixed/Other,4,M,false,Brooklyn,11231
5,January 09 2018,DOG,Pit Bull,,U,false,Brooklyn,11224
6,January 03 2018,DOG,BASENJI,4Y,M,false,Brooklyn,11231
7,January 01 2018,DOG,UNKNOWN,,U,false,Brooklyn,
8,January 03 2018,DOG,Pit Bull,,U,false,Brooklyn,11233
9,January 04 2018,DOG,American Pit Bull Mix / Pit Bull Mix,5Y,M,false,Brooklyn,11235
10,January 10 2018,DOG,MIXED,3Y,F,false,Brooklyn,11208
11,January 06 2018,DOG,,,U,false,Brooklyn,11215
12,January 07 2018,DOG,Yorkshire Terrier Crossbreed,7,M,true,Brooklyn,11208
13,January 06 2018,DOG,Great Dane,6,F,true,Brooklyn,
14,January 01 2018,DOG,Pit Bull,,U,false,Brooklyn,11220
15,January 09 2018,DOG,Labradoodle,5,F,true,Brooklyn,11238
16,January 01 2018,DOG,West High White Terrier,,M,false,Brooklyn,11207
17,January 14 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11205
18,January 07 2018,DOG,,,U,false,Brooklyn,11209
19,January 13 2018,DOG,MIXED,7,M,false,Brooklyn,11237
20,January 10 2018,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11233
21,January 15 2018,DOG,"Poodle, Miniature",8,M,true,Brooklyn,11217
22,January 13 2018,DOG,American Pit Bull Terrier/Pit Bull,11,F,true,Brooklyn,11236
23,January 13 2018,DOG,UNKNOWN,,U,false,Brooklyn,11234
24,January 09 2018,DOG,UNKNOWN,,U,false,Brooklyn,11220
25,January 01 2018,DOG,UNKNOWN,,U,false,Brooklyn,
26,January 18 2018,DOG,Pekingese,3,M,true,Brooklyn,11220
27,January 08 2018,DOG,POODLE X,13Y,M,true,Brooklyn,11215
28,January 18 2018,DOG,Labrador Retriever Crossbreed,11,M,true,Brooklyn,11214
